File Name,Year,Month,Day,5,5-baro,5-wind,6,6-baro,6-wind,7,7-baro,7-wind,8,8-baro,8-wind,9,9-baro,9-wind,10,10-baro,10-wind,11,11-baro,11-wind,12,12-baro,12-wind,13,13-baro,13-wind,14,14-baro,14-wind,15,15-baro,15-wind,16,16-baro,16-wind,17,17-baro,17-wind,18,18-baro,18-wind,19,19-baro,19-wind,20,20-baro,20-wind,21,21-baro,21-wind,22,22-baro,22-wind,23,23-baro,23-wind,0,0-baro,0-wind,1,01-baro,01-wind,weather,transcriber comments
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January ,1,,,,,,,,,,29.8,28,,,,,29,29.8,,,,29.5,,,,29.81,,,,,,28,29.8,,,,,,,,25,29.5,,,,,25,,,,,,25,29.81,,,,,,,,,,,wind E now + overcast all day,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January ,2,,,,,,,,,,29.79,26,,,,,,,,,,,,,,,,,,,,,,,,,,27,29.76,,,,,,,,25,29.73,,,,,26,29.71,,,,,,,,,,,overcast all day,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,3,,,,,,,,,,29.63,25,,,,,25,29.63,,,,,,,,,,,,,,,,,28,29.62,,,,,,,,,,,,,,,,,26,29.63,,,,,,,,,,,overcast + [illegible] wind all day,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,4,,,,,,,,,,29.58,30,,,,,,,,29,29.59,,,,,,,,,,,,,,,,,,,,29,29.49,,,,,,,,,,,29,29.65,,,,,,,,,,,snowing gently with a light wind all day,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,5,,,,,,,,,,29.25,27,,,,,,,,,,,,,,28,29.2,,,,,,,,26,29.19,,,,,,,,,,,,,,,,,25,29.17,,,,,,,,,,,"gentle [breeze] all day, almost [breeze] since 8pm",
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,6,,,,,,,,,,29.17,28,,,,,,,,,,,21.21,29,,,,,,,,,,,23,29.61,,,,,22,29.48,,,,,,,,,,,28,29.61,,,,,,,,,,,[illegible] clear + ring round the moon,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,7,,,,,,,,,,29.7,13,,,,,,,,,,,,,,29,29.73,,,,,,,,,,,,,,,,,,,,,,,,,,14,29.17,,,,,,,,,,,,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,8,,,,,,,,,,29.4,21,,,,,,,,,,,,,,25,29.35,,,,,,,,,,,22,29.27,SW,,,,,,,,,,,,SSE,23,29.25,,,,,,,,,,,"snowing a little since 1pm, 4in snow lying",
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,9,,,,,,,,,,,,,26,29.76,,,,snow NW,31,29.76,,,,Snowy W,,,,,,,,,,,,,,,,22,29.32,,,,,,,,,,,22,29.4,,,,,,,,,,,overcast + gentle wind all day,
Amherstburg_UKN-502_Forts_1851-12_OBS-1,1852,January,10,,,,,,,,,,29.4,27,,,,,,,,,,,,,,36,29.45,,,,,,,,31,29.47,snowy a little,,,,,,,,,,25,,,,,NW by N,24,29.59,,,,,,,,,,,"gentle air all day + overcast , snowing a little since N pm",
