,StationName,Timezone,UTCoffset,ObservationDate,UTCDate,value,unit,field_key,fieldID,annotationID,transcriptionID,pageID
0,Fort a la Carne,America/Regina,0,1864-11-16 07:00:00,1864-11-16 07:00:00,-999,lct,kind_of_cloud_7am,139,302606,2660,2543
1,Fort a la Carne,America/Regina,0,1864-11-17 07:00:00,1864-11-17 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,302607,2660,2543
2,Fort a la Carne,America/Regina,0,1864-11-18 07:00:00,1864-11-18 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302608,2660,2543
3,Fort a la Carne,America/Regina,0,1864-11-19 07:00:00,1864-11-19 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302609,2660,2543
4,Fort a la Carne,America/Regina,0,1864-11-20 07:00:00,1864-11-20 07:00:00,-999,lct,kind_of_cloud_7am,139,302610,2660,2543
5,Fort a la Carne,America/Regina,0,1864-11-21 07:00:00,1864-11-21 07:00:00,cirrus,lct,kind_of_cloud_7am,139,302611,2660,2543
6,Fort a la Carne,America/Regina,0,1864-11-22 07:00:00,1864-11-22 07:00:00,cirro-cumulus,lct,kind_of_cloud_7am,139,302612,2660,2543
7,Fort a la Carne,America/Regina,0,1864-11-23 07:00:00,1864-11-23 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302613,2660,2543
8,Fort a la Carne,America/Regina,0,1864-11-24 07:00:00,1864-11-24 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302614,2660,2543
9,Fort a la Carne,America/Regina,0,1864-11-25 07:00:00,1864-11-25 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302615,2660,2543
10,Fort a la Carne,America/Regina,0,1864-11-26 07:00:00,1864-11-26 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302616,2660,2543
11,Fort a la Carne,America/Regina,0,1864-11-27 07:00:00,1864-11-27 07:00:00,cirro-stratus,lct,kind_of_cloud_7am,139,302617,2660,2543
12,Fort a la Carne,America/Regina,0,1864-11-28 07:00:00,1864-11-28 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302618,2660,2543
13,Fort a la Carne,America/Regina,0,1864-11-29 07:00:00,1864-11-29 07:00:00,nimbus,lct,kind_of_cloud_7am,139,302619,2660,2543
