File Name,Year,Month,Day,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,Weather,Transcriber comments,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,18,,,,,,,,75,,80,,,80,77,72,,,,,66,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,19,,,68,,,72,,78,,,,,,,,,,38,,,,clear,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,20,,53,58,,,68,,72,76,78,,,,72,,,,,63,,,"clear, a gentle [breeze] from NW",,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,21,,62,,,62,,,78,,80,79,,,75,72,72,63,,63,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,22,,62,,,,76,79,,82,,79,,,73,,,67,,,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,23,,65,,,,,73,77,,,74,,76,,,,,,64,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,24,,60,60,68,,,77,,,,,,,66,,,58,,52,,,clear and no wind,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,25,,57,,,,,72,,,79,,,,,,,,,,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,26,,,,,,,,76,77,,82,,,,,,,70,,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,27,,68,,,,,,82,83,,87,,,77,,,72,,,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,28,,72,,,,,71,,,73,,74,,,,,,78,76,,,"clear, heavy thunder shower",,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,29,,70,,,,,,,,80,,,76,,,,,,62,,,clear,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,30,,63,,,,,,,,,,,,,,,,,,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,July,31,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,1,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,2,,,,,,,,,,,,,,,,,,,,,,,no observations made on this day,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,3,,,,60,,,,,,,,,,74,,,66,,,,,,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,4,,,,,,,,74,,,,,,,,,,,,58,,"clear all day, wind east",,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,5,,,,,,,,,,,,,,,,,,66,,,,clear,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,6,,,,,,,,,,,,,,,66,,,,62,,,clear,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,7,,,,,,,,,,,,,,,,,62,,58,,,clear,,
Amherstburg_UKN-501_Forts_1840-07-08_OBS-F,1840,August,8,,,,,,,,,,,,,,,,,60,,,52,,clear,,
