Observation date,barometer_7am,barometer_2pm,barometer_9pm,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,course_higher_clouds_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,max_thermometer_obs,max_thermometer_cor,min_thermometer_obs,min_thermometer_cor,daily_weather_remarks,remarks_7am,remarks_2pm,remarks_9pm,casual_phenomena,casual_phenomena_line_2,casual_phenomena_line_3,casual_phenomena_line_4,casual_phenomena_line_5,,word counts,remarks,,,,CP
Observation date,barometer_7am,barometer_2pm,barometer_9pm_0,attached_thermometer_7am,attached_thermometer_2pm,attached_thermometer_9pm_0,barometer_corrected_7am,barometer_corrected_2pm,barometer_corrected_9pm,barometer_corrected_mean,open_air_thermometer_7am,open_air_thermometer_2pm,open_air_thermometer_9pm,open_air_thermometer_mean,type_precipitation,rain_and_melted_snow_hour_began,rain_and_melted_snow_hour_ended,rain_and_melted_snow_amount,depth_of_snow,cloud_amount_7am,kind_of_cloud_7am,cloud_velocity_7am,cloud_direction_7am,cloud_amount_2pm,kind_of_cloud_2pm,cloud_velocity_2pm,cloud_direction_2pm,cloud_amount_9pm,kind_cloud_9pm,cloud_velocity_9pm,cloud_direction_9pm,wind_direction_7am,wind_force_7am,wind_direction_2pm,wind_force_2pm,wind_direction_9pm,wind_force_9pm,dry_bulb_7am,dry_bulb_2pm,dry_bulb_9pm,wet_bulb_7am,wet_bulb_2pm,wet_bulb_9pm,force_of_vapor_7am,force_of_vapor_2pm,force_of_vapor_9pm,relative_humidity_7am,relative_humidity_2pm,relative_humidity_9pm,,,,,daily_weather_remarks,,,,,,,,,,,,,,,
1855-09-01,29.89,29.865,29.75,55.9,70.2,74.8,29.819,29.751,29.623,29.731,47,60.15,55.2,54.12,,12 A.M.,Empty,Empty,,3,,3,North-North-West,10,,4,West,10,,4,South-West,West,0.5,South-West,4,South-West,00-Jan,46,59,55.6,44.5,54.9,53.15,287,379,372,Illegible,75,84,,,,,Commenced raining a little at 1/2 past 11 A.M. – showering,,,,,,,,,,,,,,,
1855-09-02,29.488,29.386,29.45,66,62.6,68.4,29.388,29.276,29.363,29.336,64.5,70.15,61,65.22,,Empty,Retracted,0.8,,10,,3,West-South-West,9,,3,West-South-West,10,,9,West,West-South-West,2,West-South-West,4,West,1,64.5,70.15,63.1,64.2,67.8,61,592,654,301,58,89,88,,,,,Showering – at 8 P.M.    rains fast,,,,,,,,,,,,,,,
1855-09-03,29.57,29.627,29.7,65,60.8,68.38,29.473,29.542,29.596,29.536,52.3,57.15,53,54.48,,Empty,2 A.M.,Empty,,5,,4,North-North-West,7,,3,North-North-West,8,,3,North-North-East,North-North-West,3,North-North-West,3,North-North-East,2,53,56.5,53,49.1,50,49.2,296,275,301,74,60,75,,,,,Fair weather,,,,,,,,,,,,,,,
1855-09-04,29.721,29.72,29.83,61.2,67.35,69.6,29.668,29.615,29.718,29.667,50.1,61.1,56.2,54.13,,NA,NA,NA,,Illegible,,1,North-West,1,,3,North-North-East,0,,Empty,Empty,North-West,1,West,2,Empty,0,49.8,60,52.8,47.1,52,49.1,287,283,299,80,54,75,,,,,NA,,,,,,,,,,,,,,,
1855-09-05,29.862,29.831,29.843,60,63.25,67.38,29.769,29.728,29.738,29.748,50,70,59.2,59.73,,NA,NA,NA,,0,,Empty,Empty,1,,1,West,6,,3,West-South-West,North-West,1,West,2,West-South-West,3,49,69.2,59.2,43,57.1,51.8,192,305,279,54,43,55,,,,,Prospect of showers at 6 P.M.  2 inch   clear at 11 P.M.,,,,,,,,,,,,,,,
1855-09-06,29.84,29.871,29.925,62.15,64.5,71.5,29.748,29.774,29.807,29.776,57.7,64,52.25,57.98,,NA,NA,NA,,1,,1,West,1,,1,North-West,0,,Empty,Empty,West,2,North-East,2,North-East,2,57.1,63.85,52.24,53.3,55.3,48,357,326,279,76,55,72,,,,,NA,,,,,,,,,,,,,,,
1855-09-07,29.92,29.82,29.7,60,62.5,64.86,29.837,29.733,29.603,29.724,52.5,64.35,59.6,58.82,,NA,NA,NA,,5,,4,West-South-West,2,,1,North-West,2,,1,South-West,East,1,South-West,1,South,2,52.2,64,59.8,48.3,59.2,56,286,437,403,73,74,79,,,,,NA,,,,,,,,,,,,,,,
1855-09-08,29.48,29.465,29.525,65.95,68.9,65,29.28,29.357,29.428,29.388,64,72.45,62,66.15,,1 A.M.,2 A.M.,0.1,,3,,3,West,4,,4,North-West,1,,Empty,Empty,West,3,North-West,4,Empty,0,63.7,71.9,62.5,60.5,60,57.9,484,359,422,82,46,75,,,,,Shower at 1 A.M.   Very fair,,,,,,,,,,,,,,,
1855-09-09,29.56,29.437,29.374,65.2,68.36,71.5,29.442,29.33,29.258,29.343,54.8,75.15,69,68.32,,NA,NA,NA,,1,,2,North-West,3,,4,West,2,,2,North-West,0,Empty,West,1,North-West,1,54.8,74.15,70,52.5,66.1,66.5,366,532,603,85,63,83,,,,,[illegible]... occasional drops of rain... [illegible],,,,,,,,,,,,,,,
